2019-09-04 07:55:03 DEBUG [main]  at Main.main(Main.java:9) - dsad
2019-09-04 07:55:53 DEBUG [main]  at Main.main(Main.java:9) - debug
2019-09-04 07:57:50 DEBUG [main]  at Main.main(Main.java:9) - debug
2019-09-04 09:16:21 DEBUG [main]  at Main.main(Main.java:9) - debug
2019-09-04 09:33:38 DEBUG [main]  at Main.main(Main.java:9) - debug
2019-09-04 11:11:17 DEBUG [main]  at Main.main(Main.java:11) - debug
2019-09-04 11:13:30 DEBUG [main]  at Main.main(Main.java:11) - debug
2019-09-04 11:13:39 DEBUG [main]  at Main.main(Main.java:11) - debug
2019-09-04 11:13:50 DEBUG [main]  at Main.main(Main.java:11) - debug
2019-09-04 11:16:12 DEBUG [main]  at Main.main(Main.java:12) - debug
2019-09-04 12:46:19 DEBUG [main]  at Main.main(Main.java:15) - debug
2019-09-04 12:47:54 DEBUG [main]  at Main.main(Main.java:15) - debug
2019-09-04 12:48:33 DEBUG [main]  at Main.main(Main.java:15) - debug
2019-09-04 12:49:57 DEBUG [main]  at Main.main(Main.java:15) - debug
2019-09-04 12:54:55 DEBUG [main]  at Main.main(Main.java:15) - debug
2019-09-04 13:28:44 DEBUG [main]  at Main.main(Main.java:21) - debug
2019-09-04 13:28:51 DEBUG [main]  at Main.main(Main.java:21) - debug
2019-09-04 13:32:28 DEBUG [main]  at Main.main(Main.java:23) - debug
2019-09-04 13:55:46 DEBUG [main]  at Main.main(Main.java:23) - debug
