2019-09-04 07:55:03 ERROR [main]  at Main.main(Main.java:10) - dsad
2019-09-04 07:55:53 ERROR [main]  at Main.main(Main.java:10) - error
2019-09-04 07:57:50 ERROR [main]  at Main.main(Main.java:10) - error
2019-09-04 09:16:21 ERROR [main]  at Main.main(Main.java:10) - error
2019-09-04 09:33:38 ERROR [main]  at Main.main(Main.java:10) - error
2019-09-04 11:11:17 ERROR [main]  at Main.main(Main.java:12) - error
2019-09-04 11:13:30 ERROR [main]  at Main.main(Main.java:12) - error
2019-09-04 11:13:39 ERROR [main]  at Main.main(Main.java:12) - error
2019-09-04 11:13:50 ERROR [main]  at Main.main(Main.java:12) - error
2019-09-04 11:16:12 ERROR [main]  at Main.main(Main.java:13) - error
2019-09-04 11:16:12 ERROR [main]  at Main.main(Main.java:17) - flag/i=1
2019-09-04 12:46:19 ERROR [main]  at Main.main(Main.java:16) - error
2019-09-04 12:47:54 ERROR [main]  at Main.main(Main.java:16) - error
2019-09-04 12:48:33 ERROR [main]  at Main.main(Main.java:16) - error
2019-09-04 12:49:57 ERROR [main]  at Main.main(Main.java:16) - error
2019-09-04 12:54:55 ERROR [main]  at Main.main(Main.java:16) - error
2019-09-04 13:28:44 ERROR [main]  at Main.main(Main.java:22) - error
2019-09-04 13:28:51 ERROR [main]  at Main.main(Main.java:22) - error
2019-09-04 13:32:28 ERROR [main]  at Main.main(Main.java:24) - error
2019-09-04 13:55:46 ERROR [main]  at Main.main(Main.java:24) - error
